Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C2, C9",0603,4,100nF,
"C11, C6",0603,2,1uF,
"C12, C13",0603,2,47pF,
C3,0603,1,10nF,
"C4, C5",0603,2,1uF,C15849
C7,0805,1,10uF,C15849
C8,0805,1,1uF,C15849
D1,0603,1,5V,
"D2, D3",0603,2,LED,
D4,0603,1,3V3,
D5,0603,1,PB7,
D6,0603,1,PA15,
D7,D_DO-15_P10.16mm_Horizontal,1,D_Schottky,
IC1,TO254P470X1016X1965-3P,1,TL783CKCSE3,
IC2,SOT95P270X145-5N,1,MCP1402T-E_OT,
IC4,SOP64P599X175-20N,1,FT231XS-U,
"J1, J2",PinHeader_1x04_P2.54mm_Vertical,2,Conn_01x04_Pin,
J10,PinHeader_1x02_P2.54mm_Vertical,1,5V,
J3,PinHeader_1x04_P2.54mm_Vertical,1,I2C2,
J4,SolderWire-1.5sqmm_1x01_D1.7mm_OD3mm,1,VCC,
J5,SolderWire-1.5sqmm_1x01_D1.7mm_OD3mm,1,GND,
J8,GSB1C41110SSHR,1,GSB1C41110SSHR,
J9,PinHeader_1x05_P2.54mm_Vertical,1,SPI3,
Q1,BSC146N10LS5ATMA1,1,BSC146N10LS5ATMA1,
"R1, R17, R8, R9",0603,4,1k,
"R11, R15, R16",0603,3,270,
"R12, R13",0603,2,27,
"R4, R5",0805,2,15kR,C17475
R6,0805,1,4.7k,
R7,0805,1,3k,
"SW1, SW2, SW3, SW4",SW_PUSH_6mm,4,SW_Push,
U1,LQFP-32_7x7mm_P0.8mm,1,STM32F301K6Tx,
